,Avg_temp,Max_temp,Min_temp,Avg_relative_humidity(%),Total_rainfall_snowmelt(mm),Avg_visibility,Avg_wind_speed,Max_sustained_wind_speed,PM2.5
142,23.2,28.4,19.2,80,22.35,6.3,3.7,9.4,41.583333333333336
143,23.9,28.9,20,71,0,6.9,6.7,7.6,80.04166666666667
144,24.9,30.8,20.6,70,0,6.9,4.8,7.6,82.83333333333333
145,24.4,30.5,20.3,72,0,6.9,1.5,7.6,126.16666666666667
146,21.9,30.4,20.1,81,3.3,6.3,0.9,5.4,136.70833333333334
147,21.5,27.2,19.5,85,1.02,6.9,2.6,7.6,160.66666666666666
148,23.2,27,20.7,81,5.59,6.3,3.3,5.4,245.66666666666666
149,23.4,29.4,20.7,78,0,6.9,4.3,5.4,261.6666666666667
150,23.3,29.4,19.8,80,23.37,5.5,3.5,5.4,272.4166666666667
151,23.4,28.7,18.6,71,0,6.3,1.3,5.4,149.625
152,24.2,29.6,19.6,73,0,6.9,2.2,5.4,99.70833333333333
153,23.3,29.6,19.9,80,2.03,5.8,3.9,7.6,217.375
154,22.9,29,20,78,0.76,6,4.3,7.6,309.375
155,23.3,29,19,69,0,6.3,2.8,5.4,321.5416666666667
156,22.2,29,18.4,69,0,6.9,1.5,5.4,278.0
157,22.2,28.2,17.3,68,0,6.9,2.2,5.4,192.33333333333334
158,22,28,17.8,67,0,5.5,1.1,3.5,196.75
159,21.4,28,15.6,63,0,6.3,1.1,3.5,221.54166666666666
160,22.4,29,16.8,74,0,6.3,1.9,3.5,166.70833333333334
161,22.3,29,18.2,68,0,6.3,1.3,3.5,130.70833333333334
162,22.7,30,16.5,65,0,6.9,1.1,3.5,194.70833333333334
163,22.5,28.5,19.8,80,0.51,6.3,2,5.4,134.45833333333334
164,23.1,29.2,19.2,74,2.29,6.9,1.1,5.4,110.0
165,22.7,29.2,18.8,67,0,6.9,0.4,3.5,160.0
166,23.1,29.9,20,76,0.25,6.9,3.1,5.4,118.91666666666667
167,22.5,28.3,19.4,74,0,7.7,2.4,5.4,176.375
168,21.9,28,18.4,67,0,6.9,3.1,5.4,185.95833333333334
169,20.2,28.4,15.7,67,0,6.3,1.9,3.5,239.125
170,21.3,28,16.8,68,0,6.9,0.9,3.5,365.2916666666667
171,21.2,28.7,15.9,54,0,6.9,0.7,5.4,312.2083333333333
172,22.3,27,18.6,71,0,6.3,3.5,5.4,121.33333333333333
173,22.6,27.7,19.5,75,0,6.3,3.5,5.4,202.875
